,Year,Date,NEE_orig,NEE_U05_orig,NEE_U50_orig,NEE_U95_orig,NEE_U05_f,NEE_U50_f,NEE_U95_f,num_of_observations,Perc_of_NA_NEE_orig,Perc_of_NA_NEE_U05_orig,Perc_of_NA_NEE_U50_orig,Perc_of_NA_NEE_U95_orig
1,2010,0,9818,11130,11959,12415,0,0,0,17520,56.03881279,63.52739726,68.25913242,70.86187215
2,2011,0,8987,10730,11449,11845,0,0,0,17520,51.2956621,61.24429224,65.34817352,67.60844749
3,2012,0,8155,10290,10914,11283,0,0,0,17568,46.41962659,58.57240437,62.12431694,64.22472678
4,2013,0,8431,10396,11143,11597,0,0,0,17520,48.12214612,59.33789954,63.60159817,66.19292237
5,2014,0,7999,9696,10511,11429,0,0,0,17520,45.65639269,55.34246575,59.99429224,65.23401826
6,2015,0,7740,10076,10836,11480,0,0,0,17520,44.17808219,57.51141553,61.84931507,65.52511416
7,2016,0,6781,9501,10198,10898,0,0,0,17568,38.59858834,54.08128415,58.04872495,62.03324226
8,2017,0,9351,10733,11641,12233,41,41,41,17520,53.37328767,61.26141553,66.44406393,69.82305936
9,2018,0,13283,13772,14240,14583,8427,8427,8427,17520,75.81621005,78.60730594,81.27853881,83.23630137
10,2019,0,9350,10770,11481,12052,0,0,0,17520,53.36757991,61.47260274,65.53082192,68.78995434
11,2020,0,8825,10783,11708,12212,0,0,0,17568,50.23337887,61.37864299,66.643898,69.51275046
12,2021,0,10706,11539,12489,13010,4025,4025,4040,17520,61.10730594,65.86187215,71.28424658,74.25799087
13,2022,0,13044,13743,13898,14101,10181,10181,10181,17520,74.45205479,78.44178082,79.32648402,80.48515982
average,,,,,,,,,,,53.74300985,62.81852146,66.90258512,69.82965844
